,Latitude,Longitude,count
8337,34.6120507,-82.765139,3512
1330,-3.4869444,-43.2258333,3323
31047,54,-4,2646
19399,43.2256251,-75.48878740000001,2524
25385,49.012779,2.55,2284
18134,42.4514848,-71.0864414,2134
24086,47.5183,19.10789,1909
9339,36.0300646,-85.3466385,1858
9508,36.2436749,-85.243301,1805
11737,38.7937266,-77.8577722,1644
11192,38.3242916,-76.5168989,1605
23988,47.43047,19.07098,1561
18673,42.7825237,-86.099763,1524
18636,42.7578673,-71.2422828,1396
29129,52.16045,-0.70312,1302
32036,55.95,-3.3725,1275
26755,50.6391735835358,3.07591438293457,1253
11896,38.8873341,-77.05553279999999,1251
25169,48.8534,2.3486,1210
28417,51.64875,-0.0974,1204
11715,38.7795589,-77.4327658,1163
18190,42.4812059,-71.2089445,1160
29132,52.1615076059046,-0.703125,1060
12677,39.2867738,-76.6010777,1006
18251,42.5153725,-71.1144984,992
11997,38.9117782,-77.0499772,973
21844,45.2535999,-86.9795592,945
25170,48.85341,2.3488,941
33677,9.550599999999999,122.5164,894
7101,32.4544444,-115.9969444,875
9434,36.148411,-84.5052153,855
18664,42.7764787,-71.1522811,846
22081,45.43861,12.32667,812
28024,51.5,-0.45,807
11560,38.6653967,-76.58440280000001,791
8206,34.350601,-85.15801399999999,776
17707,42.2434332,-70.9436578,776
28337,51.6,-0.25,766
5528,26.29902,-81.7974,737
8115,34.2173169,-85.17522839999999,722
31961,55.8666667,-4.25,695
15175,40.7209356,-73.9959726,678
9246,35.9217324,-85.34830460000001,668
28284,51.56667,-0.33333,660
28258,51.55,0.21667,629
17247,41.9291973,-87.86200650000001,612
10826,37.97945,23.71622,558
20133,43.76667,11.25,545
18614,42.7378672,-71.3545075,535
27664,51.33333,0.08333,533
12095,38.9403888,-77.0527551,529
9588,36.3536766,-85.15523779999999,520
18382,42.5961799,-77.2488671,517
32033,55.9497284685701,-3.19333076477051,503
23191,46.4861,6.753,501
32090,56,-4,489
14204,40.1822849,-82.9571265,484
25114,48.8344,2.324,476
14277,40.2283914,-83.5221483,474
25168,48.85339,2.34864,469
10702,37.8494872,-91.5548738,466
13307,39.7528767,-77.1330392,461
27663,51.33333,-2.5,460
8922,35.4556684,-82.5981795,456
5657,27.5197607,-82.5173183,444
1687,-34,23,443
6878,31.86667,35.21667,442
12615,39.2528795,-77.6969362,437
21585,45.0180929835126,-74.72814559936521,429
25100,48.8303,2.3234,426
16198,41.3367606,-73.94791650000001,416
14627,40.44562,-79.95589,414
