,Latitude,Longitude,count
1788,38.3242916,-76.5168989,757
1036,33.130599,-116.2994551,715
1230,34.6120507,-82.765139,557
2082,39.2528795,-77.6969362,415
2218,39.7528767,-77.1330392,349
1930,38.8873341,-77.05553279999999,296
759,27.5197607,-82.5173183,289
3387,43.2256251,-75.48878740000001,274
3777,45.43861,12.32667,273
4400,50.6391735835358,3.07591438293457,266
2924,41.7480852,-88.8667525,240
2097,39.2867738,-76.6010777,232
5186,9.550599999999999,122.5164,230
1414,36.0300646,-85.3466385,214
4206,49.012779,2.55,210
1291,35.1673393,-82.0267752,200
3254,42.7825237,-86.099763,200
3469,43.61912,-116.39658,199
1896,38.7937266,-77.8577722,197
749,26.9342246,-80.0942087,197
3742,45.2535999,-86.9795592,184
2984,41.9291973,-87.86200650000001,178
4945,54,-4,163
3141,42.454805,-73.48983389999999,158
2448,40.2987174,-75.17322830000001,150
2228,39.7834391,-76.1330074,141
4725,52.1615076059046,-0.703125,141
1450,36.2436749,-85.243301,137
4535,51.436667,5.979167,133
2439,40.26816,-75.02378,126
995,32.4544444,-115.9969444,126
1134,33.88623,-83.37683,122
1048,33.2203184,-116.2108405,119
5019,55.95,-3.3725,119
1847,38.6653967,-76.58440280000001,118
3472,43.6221773,-94.0710699,116
1328,35.4556684,-82.5981795,114
2449,40.2989951,-75.18100630000001,111
2740,41.1465836685555,-8.591828942298889,111
4620,51.64875,-0.0974,108
1204,34.350601,-85.15801399999999,108
3244,42.7578673,-71.2422828,107
2403,40.1822849,-82.9571265,106
3060,42.2434332,-70.9436578,105
2004,38.9970528,-78.0513864,103
1260,34.895926,-83.46654959999999,103
4592,51.55,0.21667,100
4511,51.33333,0.08333,99
2620,40.7525,-73.8166667,98
3140,42.4514848,-71.0864414,97
663,21.42667,39.82611,97
4318,5.42634,-74.82319,95
1883,38.7689401,-90.4681741,94
2432,40.2283914,-83.5221483,89
2822,41.4778716,-74.12958949999999,87
3041,42.1489631,-76.35243629999999,87
3232,42.71694,-76.08583,86
1472,36.3398184,-83.0029404,86
4316,5.40283,-74.86718,81
1984,38.9290001,-77.0577552,81
4724,52.16045,-0.70312,80
584,18.37578,-65.95793999999999,78
149,-29.4833333,30.3333333,78
741,26.29902,-81.7974,76
941,31.75,35,76
1103,33.6651093,-84.11824970000001,75
4561,51.5,-0.45,74
4600,51.56667,-0.33333,74
3137,42.4367527,-73.0537118,72
1191,34.2331373,-102.4107493,71
714,25.0333333,-101.2666667,71
1324,35.39423,-80.63290000000001,71
1395,35.9217324,-85.34830460000001,71
4000,47.1055153,-95.8778212,70
2117,39.3384344,-79.496162,68
4044,47.4145445,-122.230399,67
2522,40.5364861,-75.53824059999999,65
3386,43.2256247,-75.0612709,63
3250,42.7764787,-71.1522811,62
4378,50.5,-4,62
1433,36.148411,-84.5052153,62
1403,35.9620357,-83.4440556,61
1973,38.9178892,-77.04969939999999,61
1713,37.9470691,-76.0393808,60
2128,39.4017663,-77.9844427,60
3316,42.9875714,-74.7976486,60
1476,36.3536766,-85.15523779999999,60
2196,39.6400914,-78.3711223,59
4557,51.5,-0.16667,58
3162,42.5153725,-71.1144984,58
1394,35.9211768,-85.3444155,58
2387,40.1253701,-76.999977,58
3010,42.0625924,-73.1912222,56
2557,40.63972,-73.75833,56
3205,42.6286895,-73.9134588,56
2599,40.7209356,-73.9959726,56
2826,41.4807934,-107.6697922,55
4691,52,10,55
814,29.7607838,-95.3977168,54
1894,38.7923223,-80.46092040000001,54
106,-24.1666667,29.25,54
954,31.86667,35.21667,53
1888,38.7795589,-77.4327658,53
5084,6.165611,1.254511,53
1994,38.9445553,-77.0560885,53
1958,38.9117782,-77.0499772,52
4263,49.54977212,-119.019058232,52
2788,41.3367606,-73.94791650000001,52
2062,39.1889972,-76.57190900000001,52
1797,38.3695028,-82.705258,51
4690,52,-1,51
811,29.68956,-95.46014,51
1187,34.2173169,-85.17522839999999,51
1889,38.782058,-77.1463691,50
5017,55.9497284685701,-3.19333076477051,50
750,26.9489465,-80.07476370000001,50
2119,39.350073,-82.04986510000001,50
4185,48.85341,2.3488,50
2477,40.3839728,-77.2649847,49
1369,35.7764571,-85.06384540000001,49
2239,39.7989922,-76.29106899999999,49
3917,46.4861,6.753,47
1991,38.9403888,-77.0527551,47
4422,50.73444,-3.41389,47
3212,42.6464602,-76.5052173,47
667,21.6,104.75,47
4262,49.5347923,-67.423876901,46
2797,41.3823163,-74.4398791,46
1885,38.7728905,-79.4067129,46
3722,45.0180929835126,-74.72814559936521,45
1693,37.8494872,-91.5548738,45
5102,6.88333,80.71666999999999,45
3294,42.9473823,-116.730402,44
4505,51.27904,1.07992,43
1818,38.4879035,-78.3261152,43
3121,42.3889502,-78.9258689,43
4757,52.3122,4.75039,43
2906,41.6964,-86.18219999999999,43
4510,51.33333,-2.5,42
3709,44.93459,-119.56528,42
3767,45.3997187,-85.8284146,42
3697,44.88361,-93.97083000000001,42
3746,45.2722095,-86.9870598,41
4184,48.8534,2.3486,40
1504,36.7282054,-76.58356209999999,39
1665,37.691166,-86.61776159999999,38
1689,37.8403271,-87.07277449999999,38
3687,44.8374628,-93.6407923,38
2967,41.88304,-88.32353000000001,38
3459,43.5950662,-73.5181711,38
5024,56,-4,38
1977,38.9234446,-77.0369213,38
2617,40.74976,-73.977969,38
1897,38.7942785,-79.5492193,37
3046,42.1623,-77.03691000000001,37
2491,40.4350792,-77.5561012,37
2497,40.44562,-79.95589,37
2170,39.5389816,-78.5133458,37
2877,41.6170428,-72.0845212,36
677,22.2,-102.0833333,36
4122,48.3800203,-102.7721265,36
3478,43.637455,-94.10218209999999,36
2430,40.2227,-75.10129999999999,36
1220,34.5359325,-83.46516920000001,35
4942,53.9639632888809,-1.09142303466797,35
1297,35.2022334,-111.6637729,35
4296,5.0666667,-75.84999999999999,35
1583,37.2164981,-82.3168115,34
3997,47.09968,-95.84379,34
1451,36.2445059,-85.3844161,34
2224,39.7747813,-84.0799363,34
1346,35.632905,-81.76926520000001,34
1967,38.9159447,-77.05664400000001,34
2598,40.7167688,-74.0662524,33
2829,41.49088,-81.66540999999999,33
5018,55.95,-3.2,33
4538,51.45,-2.6,33
1525,36.8912586,-76.2618842,33
3307,42.9702328,-109.4537508,33
4606,51.5866,4.8203,33
789,28.4475,-81.46939999999999,33
5088,6.25,-75.61667,33
702,24.4686111,39.6141667,32
1932,38.8881,-77.06950000000001,32
1652,37.5949316,-120.9577098,31
2422,40.2141,-75.2779,31
1976,38.9228891,-77.03608800000001,31
2353,40,-4,31
1223,34.5434211,-84.6418772,31
4433,50.821,4.353,30
2225,39.7789951,-76.1166178,30
1942,38.8996,-77.25964999999999,30
2708,41.0242258,-80.61479540000001,30
2371,40.0744918,-90.2373436,30
3292,42.9388428,-109.4804179,30
2352,40,-3.75,30
2989,41.9600988,-71.4578372,30
3189,42.5961799,-77.2488671,30
617,19.436303,-99.072097,30
1145,34.0004338,-81.000091,29
1193,34.23381,-102.40919,29
2020,39.0434423,-77.18831350000001,29
1865,38.71667,-9.133330000000001,29
3240,42.7378672,-71.3545075,29
3116,42.36837,-83.35270970000001,29
433,13.55,-88.81667,29
2235,39.7925995,-77.0247036,29
616,19.4361,-99.0719,29
3542,44,4,29
4131,48.4125215,-102.8199043,29
640,20,77,28
1879,38.7492833,-77.6480469,28
3262,42.8111712,-78.3444621,28
552,18,-76.75,28
3548,44.0332977,-94.0669,28
3564,44.1445136,-70.78062060000001,28
1350,35.6564585,-88.41810289999999,28
1508,36.7525,3.04197,28
4893,53.31861,-8.06833,28
2259,39.86202,-79.98061,28
4928,53.6666667,15,27
1252,34.8028661,-86.9716741,27
2899,41.6748157,-74.13264479999999,27
1956,38.9112226,-77.0491438,27
2085,39.262608,-76.4330157,27
586,18.3833333,-77.3666667,27
2819,41.470929,-73.25150410000001,27
2780,41.3142182,-82.60156550000001,27
4392,50.6,4.35,27
3609,44.4074655,-94.1899696,27
1179,34.1647315,-117.3503232,26
5188,9.722222199999999,-67.425,26
3955,46.780676645,-73.81277740100001,26
1099,33.64836,-98.46944999999999,26
2566,40.65425,-76.90248,26
1196,34.2634267,-85.1582834,26
3350,43.0739673,-72.7348171,26
1439,36.1634115,-84.4404904,26
2421,40.21122,-75.2749,26
2695,40.9925844,-75.9101994,25
3354,43.0763774,-96.6880965,25
1960,38.9126115,-77.0491438,25
863,30.2210464,-95.5616089,24
2997,41.98174,-76.9658,24
