,Latitude,Longitude
0,55.95,-3.3725
1,27.5197607,-82.5173183
2,55.95,-3.3725
3,57.1333333,-2.1
4,42.9388428,-109.4804179
5,32.4544444,-115.9969444
6,27.5197607,-82.5173183
7,27.5197607,-82.5173183
8,43.6221773,-94.0710699
9,47.1055153,-95.8778212
10,34.2331373,-102.4107493
11,-16.4862,145.4672
12,40.1822849,-82.9571265
13,41.5045,-81.58429
14,45.2535999,-86.9795592
15,41.7480852,-88.8667525
16,43.9724137,-111.2752267
17,38.7689401,-90.4681741
18,46.2544622,-84.1164141
19,13.55,-88.81667
20,42.0872452,-90.1734613
21,42.0872452,-90.1734613
22,42.0872452,-90.1734613
23,42.0872452,-90.1734613
24,40.8789883,-74.080697
25,40.8789883,-74.080697
26,14.8,-88.15000000000001
27,35.1673393,-82.0267752
28,36.20655,36.15722
29,33.1825,68.79555999999999
30,41.4589441,-80.95898099999999
31,41.4589441,-80.95898099999999
32,40.9395304,-76.1716009
33,35.4556684,-82.5981795
34,38.5861665,-86.4016531
35,38.3242916,-76.5168989
36,43.61912,-116.39658
37,38.6377,-90.2328
38,42,-6
39,42.5792584,-71.4200629
40,40.2283914,-83.5221483
41,40.2283914,-83.5221483
42,40.2283914,-83.5221483
43,41.5872741,-83.8052175
44,27.11771,-82.41379999999999
45,38.3242916,-76.5168989
46,35.83007,-90.28399
47,27.5197607,-82.5173183
48,27.5197607,-82.5173183
49,43.6221773,-94.0710699
50,47.1055153,-95.8778212
51,52.3122,4.75039
52,8.316666700000001,100.35
53,40.6150384,-89.6223229
54,34.62072,50.37992
55,-42.4565842202113,171.220808029175
56,32.8001228,-103.4671627
57,-43,170.6666667
58,52.3122,4.75039
59,52.3122,4.75039
60,42.2742606,-71.66506800000001
61,41.9387082,-72.68259209999999
62,50.08333,6
63,42.9473823,-116.730402
64,42.9473823,-116.730402
65,54,-4
66,43.76667,11.25
67,53.61098,-2.88693
68,49.599605179,-126.569668222
69,54.03,-6.16389
70,38.3242916,-76.5168989
71,38.3242916,-76.5168989
72,43.118866,-77.672389
73,57.1333333,-2.1
74,52.3122,4.75039
75,52.3122,4.75039
76,52.37403,4.88969
77,52.37895,4.90016
78,42.9473823,-116.730402
79,42.550080683,-82.433118217
80,61.1741667,-149.9961111
81,37.8403271,-87.07277449999999
82,41.9291973,-87.86200650000001
83,55.8666667,-4.25
84,36.0817638,-95.2191282
85,38.5792191,-90.3170599
86,48.85341,2.3488
87,49.012779,2.55
88,40.4350792,-77.5561012
89,38.9176114,-77.0474772
90,44.7547709,-72.5053892
91,44.7547709,-72.5053892
92,44.7547709,-72.5053892
93,44.323669,-72.5414979
94,44.6833333,-0.3333333
95,42.9702328,-109.4537508
96,38.9117782,-77.0499772
97,38.9117782,-77.0499772
98,26.9489465,-80.07476370000001
99,42.3889502,-78.9258689
100,38.9970528,-78.0513864
101,38.3242916,-76.5168989
102,39.0545513,-78.49639809999999
103,37.97945,23.71622
104,37.97945,23.71622
105,40.94671366508,25.33447265625
106,35.9620357,-83.4440556
107,35.9620357,-83.4440556
108,40.6350646,-80.5442357
109,43.2097838,-77.69306020000001
110,43.2097838,-77.69306020000001
111,42.611735,-77.2919246
112,42.611735,-77.2919246
113,43.0756189,-77.23276
114,42.3889502,-78.9258689
115,43.2256251,-75.48878740000001
116,43.2256251,-75.48878740000001
117,44.7377408,-93.5302315
118,43.2222839,-77.6716706
119,43.0967335,-76.38132229999999
120,41.21117,-80.96926000000001
121,43.2256251,-75.48878740000001
122,43.2256251,-75.48878740000001
123,51.5,-0.16667
124,27.5197607,-82.5173183
125,56.25,10.2
126,56.25,10.2
127,52.95,9.15
128,50.6391735835358,3.07591438293457
129,51.41667,0.13333
130,43.2256251,-75.48878740000001
131,51.48979,0.06962
132,50.6391735835358,3.07591438293457
133,51.5,-0.16667
