,Latitude,Longitude,count
4451,34.6120507,-82.765139,2062
10934,43.2256251,-75.48878740000001,1893
16439,54,-4,1711
6214,38.3242916,-76.5168989,1553
10174,42.4514848,-71.0864414,1084
14638,50.6391735835358,3.07591438293457,1063
10480,42.7578673,-71.2422828,1009
13993,49.012779,2.55,986
4376,34.350601,-85.15801399999999,965
5206,36.2436749,-85.243301,936
6545,38.7937266,-77.8577722,923
12227,45.2535999,-86.9795592,915
5115,36.0300646,-85.3466385,892
10504,42.7825237,-86.099763,838
6646,38.8873341,-77.05553279999999,837
16812,55.95,-3.3725,787
15721,52.16045,-0.70312,770
17568,9.550599999999999,122.5164,768
15723,52.1615076059046,-0.703125,763
7087,39.2867738,-76.6010777,762
2863,27.5197607,-82.5173183,689
10498,42.7764787,-71.1522811,665
10238,42.5153725,-71.1144984,661
15387,51.64875,-0.0974,596
5165,36.148411,-84.5052153,581
9711,41.9291973,-87.86200650000001,509
12327,45.43861,12.32667,495
3874,33.130599,-116.2994551,490
4316,34.2173169,-85.17522839999999,475
1498,10.83333,49.75,467
6713,38.9117782,-77.0499772,438
10324,42.5961799,-77.2488671,429
12884,46.4861,6.753,418
2834,26.9342246,-80.0942087,406
7976,40.1822849,-82.9571265,406
17181,6.165611,1.254511,402
13901,48.8534,2.3486,392
8027,40.2283914,-83.5221483,385
9950,42.2434332,-70.9436578,377
7461,39.7528767,-77.1330392,364
9511,41.7480852,-88.8667525,362
13902,48.85341,2.3488,356
15198,51.5,-0.45,355
3515,31.75,35,343
6523,38.7689401,-90.4681741,342
16833,56,-4,340
15321,51.55,0.21667,333
7050,39.2528795,-77.6969362,332
6429,38.6653967,-76.58440280000001,328
8520,40.7209356,-73.9959726,316
10625,42.9388428,-109.4804179,314
15360,51.6,-0.25,308
4707,35.1673393,-82.0267752,306
15337,51.56667,-0.33333,304
15101,51.436667,5.979167,297
6020,37.97945,23.71622,292
5082,35.9620357,-83.4440556,292
7809,40,-4,291
2068,18,-76.75,288
16809,55.9497284685701,-3.19333076477051,285
5507,36.9667304,-94.5168895,282
9236,41.4807934,-107.6697922,278
8206,40.44562,-79.95589,273
2796,26.29902,-81.7974,270
5067,35.9217324,-85.34830460000001,266
2835,26.9489465,-80.07476370000001,266
4061,33.6651093,-84.11824970000001,265
15011,51.33333,0.08333,262
3543,31.86667,35.21667,260
13900,48.85339,2.34864,259
4844,35.4556684,-82.5981795,257
5249,36.3536766,-85.15523779999999,257
12104,45.0180929835126,-74.72814559936521,256
15194,51.5,-0.16667,251
3680,32.4544444,-115.9969444,250
13328,47.4145445,-122.230399,250
10462,42.7378672,-71.3545075,246
4149,33.88623,-83.37683,244
5854,37.691166,-86.61776159999999,242
4569,34.895926,-83.46654959999999,240
7518,39.7989922,-76.29106899999999,238
8053,40.26816,-75.02378,230
8793,40.9606192,-79.8306077,221
5065,35.9211768,-85.3444155,219
10661,42.9702328,-109.4537508,218
2708,25.0333333,-101.2666667,215
9888,42.1489631,-76.35243629999999,214
16781,55.8666667,-4.25,212
16433,53.9639632888809,-1.09142303466797,212
2513,21.42667,39.82611,209
3104,29.68956,-95.46014,208
9648,41.88304,-88.32353000000001,207
7928,40.1253701,-76.999977,206
4923,35.632905,-81.76926520000001,206
14363,5.42634,-74.82319,205
12644,46,2,203
5988,37.93636,23.94447,202
8576,40.7525,-73.8166667,200
14985,51.27904,1.07992,199
11230,43.61912,-116.39658,197
4339,34.2671,-85.1875,195
9248,41.49088,-81.66540999999999,195
6371,38.5861665,-86.4016531,193
11314,43.76667,11.25,188
7133,39.350073,-82.04986510000001,188
6095,38.1040882,-120.7974351,187
5242,36.3398184,-83.0029404,187
11231,43.6221773,-94.0710699,186
12234,45.2722095,-86.9870598,184
14181,49.5347923,-67.423876901,180
6530,38.7795589,-77.4327658,178
3417,31.183903,29.948889,177
4325,34.2331373,-102.4107493,175
14577,50.5,-4,174
15468,51.75315,-1.23854,173
6732,38.9170558,-77.0471993,168
6866,39.0283996,-83.86353920000001,168
467,-24.1666667,29.25,167
12242,45.2833333,6.0666667,166
16917,56.39153,-3.43951,166
4521,34.7709315,-82.9623711,165
6047,38.0171441,-122.2885808,164
6755,38.9290001,-77.0577552,162
3115,29.7607838,-95.3977168,162
16226,53.28595,-6.37739,161
1442,10.4,50.7333333,160
6546,38.7942785,-79.5492193,160
6728,38.9159447,-77.05664400000001,158
10176,42.454805,-73.48983389999999,157
6998,39.1889972,-76.57190900000001,157
4336,34.2634267,-85.1582834,157
10354,42.6286895,-73.9134588,156
14185,49.54977212,-119.019058232,154
6525,38.7728905,-79.4067129,154
10670,42.98333,-73.79389,153
5549,37.07333,22.42972,152
5935,37.8403271,-87.07277449999999,152
15010,51.33333,-2.5,151
7060,39.262608,-76.4330157,151
10933,43.2256247,-75.0612709,151
5815,37.5949316,-120.9577098,151
9734,41.9600988,-71.4578372,150
16869,56.1166667,-3.95,147
14360,5.40283,-74.86718,146
8848,41.0242258,-80.61479540000001,146
6777,38.9403888,-77.0527551,146
10125,42.3889502,-78.9258689,145
10632,42.9473823,-116.730402,145
6314,38.4879035,-78.3261152,145
15814,52.3122,4.75039,144
3910,33.2203184,-116.2108405,142
3246,30.12194,31.40556,141
7168,39.4017663,-77.9844427,140
3938,33.3412337,-90.2773066,140
7497,39.7834482,-74.9662768,138
16240,53.31861,-8.06833,137
6825,38.9970528,-78.0513864,137
13930,48.8688,2.3539,137
16290,53.42133,-6.27008,135
9084,41.3142182,-82.60156550000001,135
8025,40.2227,-75.10129999999999,134
11554,44.1445136,-70.78062060000001,134
8076,40.2987174,-75.17322830000001,134
1711,13.55,-88.81667,133
10626,42.9402318,-109.4570839,131
10338,42.6134015,-77.3122034,131
5937,37.8494872,-91.5548738,131
1667,13.1310983310125,80.1192569732666,130
2201,18.37578,-65.95793999999999,129
4544,34.83349,-79.49977,128
12819,46.350142216,-60.981795958,127
2439,20,77,127
10786,43.0739673,-72.7348171,126
6736,38.9178892,-77.04969939999999,125
17582,9.722222199999999,-67.425,125
10376,42.6464602,-76.5052173,125
5392,36.7525,3.04197,124
13512,47.898,2.164,124
10440,42.71694,-76.08583,122
13013,46.780676645,-73.81277740100001,122
2974,28.4475,-81.46939999999999,122
4200,34.0004338,-81.000091,122
7124,39.3384344,-79.496162,121
6882,39.0434423,-77.18831350000001,121
5997,37.9470691,-76.0393808,120
4005,33.5102,36.29128,120
8149,40.3839728,-77.2649847,119
5567,37.1264699,-84.44049440000001,118
7496,39.7834391,-76.1330074,118
6575,38.822613,-77.1041453,118
13185,47.1055153,-95.8778212,117
6738,38.9195557,-77.06386639999999,117
8077,40.2989951,-75.18100630000001,116
11505,44.0606281,-70.39366750000001,115
17443,7.9766667,-63.3966667,115
2205,18.3833333,-77.3666667,113
5445,36.861259,-76.3035524,112
5465,36.8912586,-76.2618842,112
6716,38.9126115,-77.0491438,112
4587,34.93759,-92.58599,112
12753,46.200140821,-61.065207187,111
6042,38.0049214,-121.805789,111
10166,42.4367527,-73.0537118,111
8015,40.2141,-75.2779,111
7808,40,-3.75,110
