,Latitude,Longitude,count
11450,43.2256251,-75.48878740000001,2734
6711,38.3242916,-76.5168989,2515
4861,34.6120507,-82.765139,1891
17130,54,-4,1812
11018,42.7578673,-71.2422828,1415
4776,34.350601,-85.15801399999999,1407
7025,38.7937266,-77.8577722,1381
10709,42.4514848,-71.0864414,1361
14539,49.012779,2.55,1195
5651,36.2436749,-85.243301,1049
7573,39.2867738,-76.6010777,1019
5552,36.0300646,-85.3466385,1004
3170,27.5197607,-82.5173183,998
15241,50.6391735835358,3.07591438293457,991
11036,42.7825237,-86.099763,957
11029,42.7764787,-71.1522811,947
18267,9.550599999999999,122.5164,933
12761,45.2535999,-86.9795592,913
16378,52.16045,-0.70312,909
17472,55.95,-3.3725,907
7130,38.8873341,-77.05553279999999,895
10773,42.5153725,-71.1144984,884
16033,51.64875,-0.0974,852
4715,34.2173169,-85.17522839999999,686
12869,45.43861,12.32667,684
5613,36.148411,-84.5052153,651
16379,52.1615076059046,-0.703125,639
4275,33.130599,-116.2994551,626
7181,38.9117782,-77.0499772,605
10212,41.9291973,-87.86200650000001,603
7007,38.7689401,-90.4681741,597
14457,48.8534,2.3486,550
3129,26.9342246,-80.0942087,546
10852,42.5961799,-77.2488671,545
8449,40.1822849,-82.9571265,536
8500,40.2283914,-83.5221483,494
10487,42.2434332,-70.9436578,478
14458,48.85341,2.3488,476
7930,39.7528767,-77.1330392,451
10022,41.7480852,-88.8667525,436
6921,38.6653967,-76.58440280000001,430
7535,39.2528795,-77.6969362,419
17468,55.9497284685701,-3.19333076477051,417
15961,51.55,0.21667,412
6508,37.97945,23.71622,394
3885,31.86667,35.21667,394
16006,51.6,-0.25,390
3850,31.75,35,389
17492,56,-4,387
5514,35.9620357,-83.4440556,384
15840,51.5,-0.45,382
3130,26.9489465,-80.07476370000001,361
3083,26.29902,-81.7974,355
9005,40.7209356,-73.9959726,347
15664,51.33333,0.08333,341
5273,35.4556684,-82.5981795,337
15983,51.56667,-0.33333,334
11746,43.6221773,-94.0710699,329
2315,18,-76.75,328
9259,40.9606192,-79.8306077,324
8687,40.44562,-79.95589,323
9735,41.4807934,-107.6697922,317
4740,34.2671,-85.1875,316
13873,47.4145445,-122.230399,315
4454,33.6651093,-84.11824970000001,315
11000,42.7378672,-71.3545075,313
8402,40.1253701,-76.999977,312
15836,51.5,-0.16667,307
10411,42.1489631,-76.35243629999999,303
4055,32.4544444,-115.9969444,300
11852,43.76667,11.25,300
6478,37.93636,23.94447,294
7997,39.7989922,-76.29106899999999,293
7205,38.9178892,-77.04969939999999,290
6336,37.691166,-86.61776159999999,288
5694,36.3536766,-85.15523779999999,287
17823,6.165611,1.254511,286
11449,43.2256247,-75.0612709,285
5494,35.9217324,-85.34830460000001,285
5120,35.1673393,-82.0267752,284
14456,48.85339,2.34864,279
3751,31.183903,29.948889,274
15752,51.436667,5.979167,274
9742,41.49088,-81.66540999999999,270
11149,42.9388428,-109.4804179,265
7335,39.0283996,-83.86353920000001,262
2763,21.42667,39.82611,258
4736,34.2634267,-85.1582834,254
13734,47.1055153,-95.8778212,252
12652,45.0180929835126,-74.72814559936521,250
14940,5.42634,-74.82319,249
4986,34.895926,-83.46654959999999,246
13438,46.4861,6.753,246
6862,38.5861665,-86.4016531,245
5350,35.632905,-81.76926520000001,244
7623,39.350073,-82.04986510000001,242
17450,55.8666667,-4.25,240
5491,35.9211768,-85.3444155,238
17526,56.1166667,-3.95,237
15633,51.27904,1.07992,236
8303,40,-4,235
17124,53.9639632888809,-1.09142303466797,234
12766,45.2722095,-86.9870598,234
8523,40.26816,-75.02378,232
6030,37.1264699,-84.44049440000001,232
17564,56.39153,-3.43951,231
4338,33.3412337,-90.2773066,229
6804,38.4879035,-78.3261152,228
9058,40.7525,-73.8166667,225
6534,38.0171441,-122.2885808,223
16105,51.75315,-1.23854,222
5686,36.3398184,-83.0029404,217
4725,34.2331373,-102.4107493,217
