,Latitude,Longitude,count
6905,43.2256251,-75.48878740000001,1351
3843,38.3242916,-76.5168989,1143
2687,34.6120507,-82.765139,871
10515,54,-4,842
6589,42.7578673,-71.2422828,815
6374,42.4514848,-71.0864414,794
2636,34.350601,-85.15801399999999,735
4035,38.7937266,-77.8577722,688
3178,36.2436749,-85.243301,623
3109,36.0300646,-85.3466385,618
8826,49.012779,2.55,600
4407,39.2867738,-76.6010777,585
6419,42.5153725,-71.1144984,531
6606,42.7825237,-86.099763,515
6601,42.7764787,-71.1522811,505
11199,9.550599999999999,122.5164,479
1725,27.5197607,-82.5173183,477
9248,50.6391735835358,3.07591438293457,474
10022,52.16045,-0.70312,448
4102,38.8873341,-77.05553279999999,432
2329,33.130599,-116.2994551,413
7817,45.43861,12.32667,406
10727,55.95,-3.3725,398
9788,51.64875,-0.0974,394
3150,36.148411,-84.5052153,360
7744,45.2535999,-86.9795592,349
5569,41.1465836685555,-8.591828942298889,325
6219,42.2434332,-70.9436578,299
6474,42.5961799,-77.2488671,295
10024,52.1615076059046,-0.703125,281
2603,34.2173169,-85.17522839999999,278
4145,38.9117782,-77.0499772,265
3723,37.97945,23.71622,256
5936,41.7480852,-88.8667525,252
4622,39.7528767,-77.1330392,250
4957,40.1822849,-82.9571265,235
1709,26.9342246,-80.0942087,234
4016,38.7689401,-90.4681741,228
6054,41.9291973,-87.86200650000001,228
3960,38.6653967,-76.58440280000001,223
8769,48.8534,2.3486,214
4993,40.2283914,-83.5221483,207
4381,39.2528795,-77.6969362,201
9643,51.5,-0.45,191
2928,35.4556684,-82.5981795,191
3070,35.9217324,-85.34830460000001,189
10738,56,-4,187
8770,48.85341,2.3488,181
2094,31.75,35,177
4665,39.7989922,-76.29106899999999,174
1689,26.29902,-81.7974,169
9730,51.55,0.21667,168
6575,42.7378672,-71.3545075,166
9764,51.6,-0.25,166
6176,42.1489631,-76.35243629999999,164
2843,35.1673393,-82.0267752,163
9521,51.33333,0.08333,162
10724,55.9497284685701,-3.19333076477051,160
4930,40.1253701,-76.999977,159
5297,40.7209356,-73.9959726,156
1497,21.42667,39.82611,155
5759,41.49088,-81.66540999999999,153
2978,35.632905,-81.76926520000001,153
5113,40.44562,-79.95589,150
8945,49.5347923,-67.423876901,150
2119,31.86667,35.21667,149
10707,55.8666667,-4.25,147
8437,47.4145445,-122.230399,146
7110,43.6221773,-94.0710699,144
7109,43.61912,-116.39658,143
7187,43.76667,11.25,141
2443,33.6651093,-84.11824970000001,140
9639,51.5,-0.16667,140
3068,35.9211768,-85.3444155,137
1710,26.9489465,-80.07476370000001,136
10511,53.9639632888809,-1.09142303466797,136
3208,36.3398184,-83.0029404,135
2757,34.895926,-83.46654959999999,135
5011,40.26816,-75.02378,135
3933,38.5861665,-86.4016531,134
4248,39.0283996,-83.86353920000001,133
2616,34.2671,-85.1875,132
9501,51.27904,1.07992,132
1240,18,-76.75,132
3085,35.9620357,-83.4440556,131
