,Latitude,Longitude,count
11089,54,-4,1537
2904,34.6120507,-82.765139,1182
8692,49.012779,2.55,981
4097,38.7937266,-77.8577722,775
3317,36.2436749,-85.243301,747
6563,42.7825237,-86.099763,702
7578,45.2535999,-86.9795592,695
10250,52.16045,-0.70312,692
4153,38.8873341,-77.05553279999999,644
10252,52.1615076059046,-0.703125,614
3894,38.3242916,-76.5168989,601
9892,51.64875,-0.0974,597
9197,50.6391735835358,3.07591438293457,587
6549,42.7578673,-71.2422828,558
3290,36.148411,-84.5052153,535
11587,56,-4,505
6351,42.4514848,-71.0864414,503
3253,36.0300646,-85.3466385,498
9857,51.6,-0.25,450
11559,55.95,-3.3725,430
2014,27.5197607,-82.5173183,414
8624,48.8534,2.3486,407
11526,55.8666667,-4.25,395
8625,48.85341,2.3488,389
6198,42.2434332,-70.9436578,357
6558,42.7764787,-71.1522811,342
12221,9.550599999999999,122.5164,331
9559,51.33333,0.08333,331
5804,41.4807934,-107.6697922,317
6397,42.5153725,-71.1144984,316
5060,40.1822849,-82.9571265,310
8976,5.58333,-75.91667,302
9815,51.55,0.21667,297
4081,38.7795589,-77.4327658,296
4028,38.6653967,-76.58440280000001,295
7584,45.2722095,-86.9870598,289
4200,38.9117782,-77.0499772,289
6065,41.9291973,-87.86200650000001,279
4243,38.9403888,-77.0527551,273
11556,55.9497284685701,-3.19333076477051,269
9716,51.5,-0.45,264
7528,45.097586217,-74.41755173999999,263
2504,32.4544444,-115.9969444,258
9712,51.5,-0.16667,252
8623,48.85339,2.34864,249
1464,18,-76.75,245
6815,43.2256251,-75.48878740000001,245
10827,53.28595,-6.37739,243
7967,46.4861,6.753,239
4933,40,-4,228
4189,38.9051116,-77.03803240000001,226
4466,39.2867738,-76.6010777,224
12141,7.9766667,-63.3966667,218
11678,56.39153,-3.43951,218
7503,45.0180929835126,-74.72814559936521,207
5383,40.7209356,-73.9959726,205
1623,19.25,-99.16667,203
6635,42.9388428,-109.4804179,200
8643,48.8688,2.3539,191
9828,51.56667,-0.33333,188
4441,39.2528795,-77.6969362,185
2586,33.130599,-116.2994551,182
4684,39.7528767,-77.1330392,174
5565,41,20,173
4689,39.76,-98.5,172
4771,39.9106181,-83.16296730000001,171
5089,40.2283914,-83.5221483,169
12137,7.7538889,-63.2633333,169
1638,19.436303,-99.072097,166
11220,54.5,-6.5,165
9634,51.436667,5.979167,165
1970,26.29902,-81.7974,164
10381,52.380001,13.5225,161
7643,45.43861,12.32667,160
5973,41.7480852,-88.8667525,158
11521,55.8651497187961,-4.25763130187988,158
